id,affiliate_id,country_code,is_kyc_approved,created_at,updated_at
1,1,DE,TRUE,2024-01-10 17:07:01+00:00,2024-02-08 09:05:26+00:00
2,,BR,TRUE,2024-02-09 19:19:27+00:00,2024-03-05 08:06:20+00:00
3,2,BR,TRUE,2024-02-13 05:40:50+00:00,2024-02-17 10:58:17+00:00
4,3,GB,TRUE,2024-02-24 04:35:15+00:00,2024-03-05 19:19:09+00:00
5,4,AU,FALSE,2024-03-27 16:28:29+00:00,2024-04-01 05:38:15+00:00
6,,FR,TRUE,2024-04-05 02:33:27+00:00,2024-04-06 13:16:25+00:00
7,5,CA,TRUE,2024-04-16 19:27:32+00:00,2024-04-18 08:29:18+00:00
8,6,BR,TRUE,2024-09-05 07:53:23+00:00,2024-10-01 19:17:16+00:00
9,7,AU,FALSE,2024-10-13 00:24:33+00:00,2024-10-24 07:28:43+00:00
10,8,CA,FALSE,2024-10-14 23:45:05+00:00,2024-11-04 11:19:33+00:00
10,8,CA,TRUE,2024-10-14 23:45:05+00:00,2024-11-06 12:31:09+00:00
